chemin, class, class_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGeneratorTest.java, StandardToolTipTagFragmentGeneratorTest.java, 59, 45, 0.7627118644067796, 1, 0.7627118644067796
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererUtilsTest.java, RendererUtilsTest.java, 341, 108, 0.31671554252199413, 1, 0.31671554252199413
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererChangeDetector.java, RendererChangeDetector.java, 83, 64, 0.7710843373493976, 1, 0.7710843373493976
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/AbstractRendererTest.java, AbstractRendererTest.java, 690, 140, 0.2028985507246377, 1, 0.2028985507246377
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/DefaultPolarItemRendererTest.java, DefaultPolarItemRendererTest.java, 94, 50, 0.5319148936170213, 1, 0.5319148936170213
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/LookupPaintScaleTest.java, LookupPaintScaleTest.java, 166, 58, 0.3493975903614458, 1, 0.3493975903614458
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/AreaRendererEndTypeTest.java, AreaRendererEndTypeTest.java, 65, 44, 0.676923076923077, 1, 0.676923076923077
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/OutlierTest.java, OutlierTest.java, 98, 54, 0.5510204081632653, 1, 0.5510204081632653
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest.java, GrayPaintScaleTest.java, 119, 55, 0.46218487394957986, 1, 0.46218487394957986
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java, GanttRendererTest.java, 120, 53, 0.44166666666666665, 1, 0.44166666666666665
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java, IntervalBarRendererTest.java, 154, 65, 0.42207792207792205, 1, 0.42207792207792205
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java, StandardBarPainterTest.java, 87, 51, 0.5862068965517241, 1, 0.5862068965517241
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LayeredBarRendererTest.java, LayeredBarRendererTest.java, 136, 61, 0.4485294117647059, 1, 0.4485294117647059
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/WaterfallBarRendererTest.java, WaterfallBarRendererTest.java, 172, 100, 0.5813953488372093, 1, 0.5813953488372093
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/ScatterRendererTest.java, ScatterRendererTest.java, 183, 68, 0.37158469945355194, 1, 0.37158469945355194
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java, GroupedStackedBarRendererTest.java, 158, 62, 0.3924050632911392, 1, 0.3924050632911392
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRendererTest.java, StatisticalLineAndShapeRendererTest.java, 176, 68, 0.38636363636363635, 1, 0.38636363636363635
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java, StatisticalBarRendererTest.java, 258, 89, 0.3449612403100775, 1, 0.3449612403100775
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedBarRendererTest.java, StackedBarRendererTest.java, 125, 57, 0.456, 1, 0.456
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java, BoxAndWhiskerRendererTest.java, 494, 107, 0.2165991902834008, 1, 0.2165991902834008
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java, MinMaxCategoryRendererTest.java, 142, 60, 0.4225352112676056, 1, 0.4225352112676056
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AreaRendererTest.java, AreaRendererTest.java, 138, 58, 0.42028985507246375, 1, 0.42028985507246375
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GradientBarPainterTest.java, GradientBarPainterTest.java, 97, 51, 0.5257731958762887, 1, 0.5257731958762887
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/CategoryStepRendererTest.java, CategoryStepRendererTest.java, 119, 57, 0.4789915966386555, 1, 0.4789915966386555
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedAreaRendererTest.java, StackedAreaRendererTest.java, 124, 57, 0.4596774193548387, 1, 0.4596774193548387
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/DefaultCategoryItemRendererTest.java, DefaultCategoryItemRendererTest.java, 97, 53, 0.5463917525773195, 1, 0.5463917525773195
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LevelRendererTest.java, LevelRendererTest.java, 181, 74, 0.4088397790055249, 1, 0.4088397790055249
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LineAndShapeRendererTest.java, LineAndShapeRendererTest.java, 250, 73, 0.292, 1, 0.292
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BarRendererTest.java, BarRendererTest.java, 264, 81, 0.3068181818181818, 1, 0.3068181818181818
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java, AbstractCategoryItemRendererTest.java, 295, 86, 0.29152542372881357, 1, 0.29152542372881357
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/ClusteredXYBarRendererTest.java, ClusteredXYBarRendererTest.java, 153, 63, 0.4117647058823529, 1, 0.4117647058823529
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/AbstractXYItemRendererTest.java, AbstractXYItemRendererTest.java, 159, 64, 0.4025157232704403, 1, 0.4025157232704403
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYSplineRendererTest.java, XYSplineRendererTest.java, 119, 53, 0.44537815126050423, 1, 0.44537815126050423
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepAreaRendererTest.java, XYStepAreaRendererTest.java, 157, 60, 0.3821656050955414, 1, 0.3821656050955414
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/WindItemRendererTest.java, WindItemRendererTest.java, 94, 53, 0.5638297872340425, 1, 0.5638297872340425
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYBarRendererTest.java, StackedXYBarRendererTest.java, 154, 61, 0.3961038961038961, 1, 0.3961038961038961
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationRendererTest.java, DeviationRendererTest.java, 100, 54, 0.54, 1, 0.54
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBubbleRendererTest.java, XYBubbleRendererTest.java, 147, 57, 0.3877551020408163, 1, 0.3877551020408163
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepRendererTest.java, XYStepRendererTest.java, 174, 64, 0.367816091954023, 1, 0.367816091954023
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/HighLowRendererTest.java, HighLowRendererTest.java, 157, 63, 0.4012738853503185, 1, 0.4012738853503185
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRendererTest.java, XYAreaRendererTest.java, 216, 63, 0.2916666666666667, 1, 0.2916666666666667
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYItemRendererTest.java, StandardXYItemRendererTest.java, 224, 64, 0.2857142857142857, 1, 0.2857142857142857
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYBarPainterTest.java, StandardXYBarPainterTest.java, 87, 51, 0.5862068965517241, 1, 0.5862068965517241
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/GradientXYBarPainterTest.java, GradientXYBarPainterTest.java, 97, 51, 0.5257731958762887, 1, 0.5257731958762887
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest.java, StackedXYAreaRendererTest.java, 201, 65, 0.32338308457711445, 1, 0.32338308457711445
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBlockRendererTest.java, XYBlockRendererTest.java, 186, 72, 0.3870967741935484, 1, 0.3870967741935484
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYErrorRendererTest.java, XYErrorRendererTest.java, 167, 70, 0.41916167664670656, 1, 0.41916167664670656
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRendererTest.java, XYBoxAndWhiskerRendererTest.java, 150, 58, 0.38666666666666666, 1, 0.38666666666666666
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/YIntervalRendererTest.java, YIntervalRendererTest.java, 212, 60, 0.2830188679245283, 1, 0.2830188679245283
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2Test.java, StackedXYAreaRenderer2Test.java, 158, 62, 0.3924050632911392, 1, 0.3924050632911392
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/CandlestickRendererTest.java, CandlestickRendererTest.java, 195, 70, 0.358974358974359, 1, 0.358974358974359
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest.java, VectorRendererTest.java, 102, 55, 0.5392156862745098, 1, 0.5392156862745098
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/RendererXYPackageUtils.java, RendererXYPackageUtils.java, 81, 50, 0.6172839506172839, 1, 0.6172839506172839
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDotRendererTest.java, XYDotRendererTest.java, 153, 58, 0.3790849673202614, 1, 0.3790849673202614
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBarRendererTest.java, XYBarRendererTest.java, 321, 90, 0.2803738317757009, 1, 0.2803738317757009
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRenderer2Test.java, XYAreaRenderer2Test.java, 179, 64, 0.3575418994413408, 1, 0.3575418994413408
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYLineAndShapeRendererTest.java, XYLineAndShapeRendererTest.java, 262, 66, 0.25190839694656486, 1, 0.25190839694656486
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYShapeRendererTest.java, XYShapeRendererTest.java, 159, 56, 0.3522012578616352, 1, 0.3522012578616352
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDifferenceRendererTest.java, XYDifferenceRendererTest.java, 180, 65, 0.3611111111111111, 1, 0.3611111111111111
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationStepRendererTest.java, DeviationStepRendererTest.java, 100, 54, 0.54, 1, 0.54
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/PlotRenderingInfoTest.java, PlotRenderingInfoTest.java, 104, 48, 0.46153846153846156, 1, 0.46153846153846156
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java, CombinedRangeXYPlotTest.java, 241, 84, 0.34854771784232363, 1, 0.34854771784232363
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/MeterIntervalTest.java, MeterIntervalTest.java, 90, 47, 0.5222222222222223, 1, 0.5222222222222223
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java, CombinedDomainXYPlotTest.java, 249, 86, 0.3453815261044177, 1, 0.3453815261044177
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/MarkerTest.java, MarkerTest.java, 366, 122, 0.3333333333333333, 1, 0.3333333333333333
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryMarkerTest.java, CategoryMarkerTest.java, 174, 65, 0.3735632183908046, 1, 0.3735632183908046
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/ThermometerPlotTest.java, ThermometerPlotTest.java, 171, 60, 0.3508771929824561, 1, 0.3508771929824561
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/PlotOrientationTest.java, PlotOrientationTest.java, 67, 46, 0.6865671641791045, 1, 0.6865671641791045
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/MeterPlotTest.java, MeterPlotTest.java, 217, 73, 0.33640552995391704, 1, 0.33640552995391704
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/SpiderWebPlotTest.java, SpiderWebPlotTest.java, 295, 82, 0.27796610169491526, 1, 0.27796610169491526
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/DefaultDrawingSupplierTest.java, DefaultDrawingSupplierTest.java, 169, 58, 0.3431952662721893, 1, 0.3431952662721893
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/ValueMarkerTest.java, ValueMarkerTest.java, 201, 61, 0.3034825870646766, 1, 0.3034825870646766
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/FastScatterPlotTest.java, FastScatterPlotTest.java, 200, 61, 0.305, 2, 0.1525
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CrosshairTest.java, CrosshairTest.java, 164, 53, 0.3231707317073171, 1, 0.3231707317073171
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java, CombinedRangeCategoryPlotTest.java, 241, 80, 0.33195020746887965, 1, 0.33195020746887965
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/PolarPlotTest.java, PolarPlotTest.java, 315, 55, 0.1746031746031746, 1, 0.1746031746031746
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/PlotTest.java, PlotTest.java, 150, 60, 0.4, 1, 0.4
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/RingPlotTest.java, RingPlotTest.java, 140, 53, 0.37857142857142856, 1, 0.37857142857142856
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryPlotTest.java, CategoryPlotTest.java, 1118, 214, 0.19141323792486584, 1, 0.19141323792486584
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/IntervalMarkerTest.java, IntervalMarkerTest.java, 131, 58, 0.44274809160305345, 1, 0.44274809160305345
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java, CombinedDomainCategoryPlotTest.java, 242, 81, 0.3347107438016529, 1, 0.3347107438016529
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/XYPlotTest.java, XYPlotTest.java, 1252, 261, 0.2084664536741214, 1, 0.2084664536741214
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/MyPlotChangeListener.java, MyPlotChangeListener.java, 79, 60, 0.759493670886076, 1, 0.759493670886076
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial/MyDialLayerChangeListener.java, MyDialLayerChangeListener.java, 58, 50, 0.8620689655172413, 1, 0.8620689655172413
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialFrameTest.java, StandardDialFrameTest.java, 123, 56, 0.45528455284552843, 1, 0.45528455284552843
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial/AbstractDialLayerTest.java, AbstractDialLayerTest.java, 91, 52, 0.5714285714285714, 1, 0.5714285714285714
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialPointerTest.java, DialPointerTest.java, 148, 63, 0.42567567567567566, 1, 0.42567567567567566
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest.java, StandardDialRangeTest.java, 115, 55, 0.4782608695652174, 1, 0.4782608695652174
