chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart, chart, 3822, 1536, 0.40188383045525905, 251, 0.00160113079862653
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend, legend, 485, 180, 0.3711340206185567, 3, 0.12371134020618557
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap, imagemap, 348, 230, 0.6609195402298851, 5, 0.13218390804597702
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer, renderer, 1656, 573, 0.34601449275362317, 59, 0.0058646524195529355
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category, category, 3770, 1431, 0.3795755968169761, 21, 0.018075028419856004
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy, xy, 4844, 1836, 0.3790255986787779, 30, 0.01263418662262593
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot, plot, 6376, 1868, 0.2929736511919699, 51, 0.005744581395920978
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial, dial, 1739, 733, 0.4215066129959747, 12, 0.03512555108299789
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/pie, pie, 875, 240, 0.2742857142857143, 3, 0.09142857142857143
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/compass, compass, 885, 518, 0.5853107344632769, 11, 0.0532100667693888
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/flow, flow, 242, 62, 0.256198347107438, 1, 0.256198347107438
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/title, title, 675, 371, 0.5496296296296296, 6, 0.09160493827160493
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/entity, entity, 809, 379, 0.4684796044499382, 8, 0.058559950556242274
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/swing, swing, 417, 161, 0.38609112709832133, 2, 0.19304556354916066
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/labels, labels, 2503, 1133, 0.452656811825809, 21, 0.021555086277419477
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/internal, internal, 539, 264, 0.4897959183673469, 6, 0.08163265306122448
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/annotations, annotations, 2037, 833, 0.40893470790378006, 15, 0.027262313860252005
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/urls, urls, 785, 371, 0.4726114649681529, 7, 0.06751592356687898
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/axis, axis, 5087, 1888, 0.3711421269903676, 30, 0.012371404233012253
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/api, api, 87, 41, 0.47126436781609193, 1, 0.47126436781609193
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/text/format, format, 347, 152, 0.43804034582132567, 3, 0.14601344860710855
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/chart/block, block, 2012, 757, 0.37624254473161034, 12, 0.03135354539430086
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data, data, 2847, 988, 0.3470319634703196, 113, 0.0030710793227461913
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/statistics, statistics, 2310, 834, 0.36103896103896105, 13, 0.02777222777222777
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/category, category, 1189, 349, 0.29352396972245587, 4, 0.07338099243061397
/Users/martinelmqirmi/Documents/TP1_IFT3913/jfreechart-master/src/test/java/org/jfree/data/general, general, 2535, 887, 0.34990138067061144, 10, 0.034990138067061145
